Timestamp,Opening,High,Low,Closing
2016-04-12,3102.32,3112.2,3063.47,3111.82
2016-04-11,3092.81,3114.66,3070.66,3102.32
2016-04-08,3031.96,3097.26,3039.42,3092.81
2016-04-07,3073.12,3093.37,3031.96,3031.96
2016-04-06,3088.52,3092.05,3051.88,3073.12
2016-04-05,3129.48,3129.48,3074.03,3088.52
2016-04-04,3122.27,3149.7,3105.04,3129.48
2016-04-01,3179.39,3173.5,3099.89,3122.27
2016-03-31,3231.02,3230.31,3174.37,3179.39
2016-03-30,3165.09,3231.02,3165.09,3231.02
2016-03-29,3149.05,3172.53,3140.62,3165.09
2016-03-24,3203.7,3200.48,3147.57,3149.05
2016-03-23,3223.42,3236.76,3190.78,3203.7
2016-03-22,3236.54,3236.42,3187.57,3223.42
2016-03-21,3240.05,3259.18,3213.15,3236.54
2016-03-18,3229.82,3242.51,3210.5,3240.05
2016-03-17,3206.27,3238.03,3172.94,3229.82
2016-03-16,3207.31,3227.32,3193.81,3206.27
2016-03-15,3238.86,3238.86,3201.47,3207.31
2016-03-14,3173.5,3243.17,3174.19,3238.86
2016-03-11,3110.82,3178.2,3123.17,3173.5
2016-03-10,3150.9,3215.33,3110.66,3110.82
2016-03-09,3133.92,3160.28,3129.83,3150.9
2016-03-08,3180.95,3179.3,3122.17,3133.92
2016-03-07,3187.08,3193.24,3155.26,3180.95
2016-03-04,3177.85,3199.93,3163.73,3187.08
2016-03-03,3164.99,3189.15,3159.66,3177.85
2016-03-02,3186.95,3222.3,3142.26,3164.99
2016-03-01,3131.49,3187.04,3114.06,3186.95
2016-02-29,3129.27,3133.62,3073.87,3131.49
2016-02-26,3106.14,3140.85,3109.52,3129.27
2016-02-25,3057.68,3119.14,3060.48,3106.14
2016-02-24,3127.14,3127.82,3043.93,3057.68
2016-02-23,3176.19,3174.88,3125.54,3127.14
2016-02-22,3090.72,3176.19,3101.48,3176.19
2016-02-19,3115.54,3128.73,3080.17,3090.72
2016-02-18,3085.31,3136.36,3072.58,3115.54
2016-02-17,2986.25,3085.87,2989.7,3085.31
2016-02-16,3000.34,3042.09,2976.61,2986.25
2016-02-15,2908.13,3012.57,2922.88,3000.34
2016-02-12,2858.41,2911.4,2856.31,2908.13
2016-02-11,2966.95,2963.56,2842.82,2858.41
2016-02-10,2946.74,3015.01,2920.48,2966.95
2016-02-09,2990.62,3005.18,2905.1,2946.74
2016-02-08,3101.47,3118.44,2983.61,2990.62
2016-02-05,3103.37,3149.16,3087.78,3101.47
2016-02-04,3111.09,3150.25,3071.19,3103.37
2016-02-03,3165.63,3165.83,3086.32,3111.09
2016-02-02,3202.52,3214.74,3152.63,3165.63
2016-02-01,3221.33,3252.96,3174.92,3202.52
2016-01-29,3180.68,3229.68,3190.59,3221.33
2016-01-28,3217.32,3243.01,3166.96,3180.68
2016-01-27,3214.57,3227.44,3174.43,3217.32
2016-01-26,3163.35,3214.57,3107.87,3214.57
2016-01-25,3172.83,3194.47,3151.57,3163.35
2016-01-22,3079.44,3186.52,3082.95,3172.83
2016-01-21,3024.56,3086.96,3010.58,3079.44
2016-01-20,3120.52,3119.59,3013.8,3024.56
2016-01-19,3065.97,3144.15,3075.61,3120.52
2016-01-18,3074.92,3115.26,3045.3,3065.97
2016-01-15,3173.08,3177.48,3057.19,3074.92
2016-01-14,3261.91,3253.52,3130.04,3173.08
2016-01-13,3238.11,3313.5,3245.5,3261.91
2016-01-12,3204.51,3261.59,3196.54,3238.11
2016-01-11,3181.06,3233.99,3164.1,3204.51
2016-01-08,3179.13,3236.33,3179.24,3181.06
2016-01-07,3253.04,3246.36,3105.89,3179.13
2016-01-05,3260.43,3301.89,3236.04,3253.04
2016-01-04,3359.38,3356.47,3254.89,3260.43
2015-12-30,3376.89,3376.75,3351.14,3359.38
2015-12-29,3328.7,3376.89,3333,3376.89
2015-12-28,3353.53,3357.13,3319.29,3328.7
2015-12-23,3278.7,3353.53,3281.26,3353.53
2015-12-22,3282.79,3305,3263.04,3278.7
2015-12-21,3302.41,3331.12,3282.79,3282.79
2015-12-18,3356.68,3355.29,3288.57,3302.41
2015-12-17,3323.84,3394.66,3328.78,3356.68
2015-12-16,3298.83,3341.33,3288.16,3323.84
2015-12-15,3205.29,3300.27,3205.29,3298.83
2015-12-14,3247.13,3278.22,3201.18,3205.29
2015-12-11,3345.9,3345.9,3236.12,3247.13
2015-12-10,3301.46,3363.57,3285.78,3345.9
2015-12-09,3338.89,3345.24,3292.32,3301.46
2015-12-08,3410.53,3410.43,3328.32,3338.89
2015-12-07,3389.02,3444.12,3391,3410.53
2015-12-04,3407.43,3407.61,3360.04,3389.02
2015-12-03,3486.13,3506.18,3403.88,3407.43
2015-12-02,3466.42,3498.44,3468.54,3486.13
2015-12-01,3468.92,3486.81,3461.71,3466.42
2015-11-30,3443.95,3476.8,3429.16,3468.92
2015-11-27,3447.35,3446.16,3416.76,3443.95
2015-11-26,3421.4,3452.2,3420.38,3447.35
2015-11-25,3385.72,3428.54,3382.28,3421.4
2015-11-24,3451.93,3451.93,3379.13,3385.72
2015-11-23,3431.72,3452.11,3414.91,3451.93
2015-11-20,3413.42,3436.6,3404.83,3431.72
2015-11-19,3414.41,3448.75,3408.31,3413.42
2015-11-18,3405.78,3424.69,3397.86,3414.41
2015-11-17,3344.48,3407.29,3344.48,3405.78
2015-11-16,3316.89,3351.68,3291.38,3344.48
2015-11-13,3352.16,3346.48,3299.6,3316.89
2015-11-12,3391.98,3402.18,3335.3,3352.16
2015-11-11,3347.59,3396.04,3347.59,3391.98
2015-11-10,3361.28,3376.5,3336.57,3347.59
2015-11-09,3400.7,3409.54,3358.25,3361.28
2015-11-06,3377.12,3413.31,3366.1,3400.7
2015-11-05,3382.21,3399.24,3364.16,3377.12
2015-11-04,3348.96,3403.79,3358.99,3382.21
2015-11-03,3322.97,3348.96,3320.36,3348.96
2015-11-02,3289.39,3324.96,3274.24,3322.97
2015-10-30,3269.23,3290.73,3271.88,3289.39
2015-10-29,3246.64,3284.94,3247.97,3269.23
2015-10-28,3217.71,3247.18,3202.56,3246.64
2015-10-27,3266.8,3274.2,3217.33,3217.71
2015-10-26,3267.32,3281.36,3237.24,3266.8
2015-10-23,3237.66,3278.46,3231.38,3267.32
2015-10-22,3176.44,3240.74,3135.23,3237.66
2015-10-21,3180.12,3186.45,3138.2,3176.44
2015-10-20,3174.36,3198.93,3164.15,3180.12
2015-10-19,3138.63,3187.63,3135.01,3174.36
2015-10-16,3152.9,3173.06,3126.26,3138.63
2015-10-15,3118.76,3152.9,3135.1,3152.9
2015-10-14,3132.09,3143.9,3108.52,3118.76
2015-10-13,3159.13,3159.06,3122.66,3132.09
2015-10-12,3157.2,3221.5,3147.39,3159.13
2015-10-09,3138.35,3182.17,3151.86,3157.2
2015-10-08,3138.47,3149.97,3123.11,3138.35
2015-10-07,3136.46,3182.13,3131.05,3138.47
2015-10-06,3092.22,3147.97,3080.06,3136.46
2015-10-05,2990.66,3092.22,3035.04,3092.22
2015-10-02,2964.34,3014.24,2955.58,2990.66
2015-10-01,2966.85,3007.01,2952.12,2964.34
2015-09-30,2916.38,2976.69,2947.49,2966.85
2015-09-29,2900.07,2929.55,2861.48,2916.38
2015-09-28,2972.03,2973.42,2898.36,2900.07
2015-09-25,2899.11,2983.76,2946.08,2972.03
2015-09-24,2981.9,2986.7,2891.86,2899.11
2015-09-23,2975.02,3012.09,2962.29,2981.9
2015-09-22,3078.03,0,0,2975.02
2015-09-21,3045.23,3086.25,3038.1,3078.03
2015-09-18,3100.55,3095.11,3027.07,3045.23
2015-09-17,3107.7,3115.07,3086.59,3100.55
2015-09-16,3077.12,3118.04,3092.82,3107.7
2015-09-15,3071.94,3085.94,3046.02,3077.12
2015-09-14,3106.17,3128.67,3071.35,3071.94
2015-09-11,3132.33,3135.33,3102.87,3106.17
2015-09-10,3164.72,3166.01,3131.01,3132.33
2015-09-09,3106,3196.36,3159.19,3164.72
2015-09-08,3052.86,3116.2,3061.09,3106
2015-09-07,3045.89,3078.28,3044.21,3052.86
2015-09-04,3118.94,3093.04,3038.6,3045.89
2015-09-03,3045.53,3131.74,3071.54,3118.94
2015-09-02,3028.91,3062.01,3017.25,3045.53
2015-09-01,3102.35,3083.14,3012,3028.91
2015-08-31,3132.94,3125.96,3077.45,3102.35
2015-08-28,3129.06,3141.94,3097.49,3132.94
2015-08-27,3041.19,3135.19,3105.43,3129.06
2015-08-26,3069.98,3103.46,2983.93,3041.19
2015-08-25,2942.86,3079.69,2978.14,3069.98
2015-08-24,3105.17,3038.4,2887.54,2942.86
2015-08-21,3185.27,3177.07,3105.17,3105.17
2015-08-20,3271.54,3257.38,3178.09,3185.27
2015-08-19,3335.96,3323.96,3268.94,3271.54
2015-08-18,3338.93,3346.21,3319.89,3335.96
2015-08-17,3342.03,3366.74,3307.19,3338.93
2015-08-14,3341.26,3360.91,3333.54,3342.03
2015-08-13,3281.3,3356.67,3322.84,3341.26
2015-08-12,3378.37,3352.69,3273.55,3281.3
2015-08-11,3431.07,3431.59,3367.22,3378.37
2015-08-10,3405.98,3431.07,3394.72,3431.07
2015-08-07,3436.77,3431.56,3405.21,3405.98
2015-08-06,3440.09,3454.67,3433.85,3436.77
2015-08-05,3429.73,3446.69,3429.47,3440.09
2015-08-04,3422.02,3434.01,3406.35,3429.73
2015-08-03,3396.8,3423.94,3398.77,3422.02
2015-07-31,3399.35,3408.03,3390.97,3396.8
2015-07-30,3359.04,3417.87,3376.27,3399.35
2015-07-29,3327.8,3359.79,3315.69,3359.04
2015-07-28,3303.74,3339.25,3300.68,3327.8
2015-07-27,3352.43,3347.08,3298.51,3303.74
2015-07-24,3361.4,3390.51,3351.49,3352.43
2015-07-23,3362.69,3386.22,3358.51,3361.4
2015-07-22,3399.79,3383.11,3361.4,3362.69
2015-07-21,3489.25,3489.63,3393.97,3399.79
2015-07-20,3440.04,3499.07,3451.34,3489.25
2015-07-17,3422.06,3459.99,3405.66,3440.04
2015-07-16,3375.71,3432.19,3387.98,3422.06
2015-07-15,3380.14,3383.75,3367.64,3375.71
2015-07-14,3355.21,3380.63,3337.09,3380.14
2015-07-13,3297.81,3355.9,3320.75,3355.21
2015-07-10,3225.5,3297.81,3270.93,3297.81
2015-07-09,3141.27,3226.27,3151.15,3225.5
2015-07-08,3119.06,3161.74,3099.22,3141.27
2015-07-07,3190.05,3195.75,3119.06,3119.06
2015-07-06,3241.11,3217.97,3180.56,3190.05
2015-07-03,3258.73,3260.35,3225.88,3241.11
2015-07-02,3288.83,3291.95,3256.01,3258.73
2015-07-01,3254.48,3312.48,3254.57,3288.83
2015-06-30,3301.46,3298.42,3249.33,3254.48
2015-06-29,3390.13,3337.34,3252.31,3301.46
2015-06-26,3374.5,3397.13,3352.27,3390.13
2015-06-25,3375.38,3404.48,3358.95,3374.5
2015-06-24,3385.43,3397.98,3365.19,3375.38
2015-06-23,3356.34,3395.99,3369.83,3385.43
2015-06-22,3267.06,3356.34,3313.3,3356.34
2015-06-18,3244.12,3267.89,3195.97,3267.06
2015-06-17,3279.87,3292.94,3231.2,3244.12
2015-06-16,3244.96,3284.33,3195.7,3279.87
2015-06-15,3287.7,3262.12,3235.69,3244.96
2015-06-12,3326.94,3321.22,3268.89,3287.7
2015-06-11,3311.9,3346.96,3305.74,3326.94
2015-06-10,3268.79,3314.62,3253.96,3311.9
2015-06-09,3276.07,3272.87,3217.39,3268.79
2015-06-08,3318.18,3324.25,3273.76,3276.07
2015-06-05,3361.51,3342.94,3313.42,3318.18
2015-06-04,3396.98,3388.61,3335.21,3361.51
2015-06-03,3393.33,3418.06,3389.72,3396.98
2015-06-02,3389.21,3413.74,3377.29,3393.33
2015-06-01,3375.11,3413.3,3375.93,3389.21
2015-05-29,3418.74,3427.88,3374.82,3375.11
2015-05-28,3443.76,3437.64,3402.14,3418.74
2015-05-27,3411.12,3446.9,3404.57,3443.76
2015-05-26,3435.08,3447.94,3406.1,3411.12
2015-05-25,3465.09,3458.69,3427.82,3435.08
2015-05-22,3473.14,3484.48,3462.33,3465.09
2015-05-21,3455.91,3473.91,3442.05,3473.14
2015-05-20,3427.09,3457.18,3417.22,3455.91
2015-05-19,3364,3427.09,3382.54,3427.09
2015-05-18,3369.35,3385.44,3342.1,3364
2015-05-15,3354.59,3394.88,3362.84,3369.35
2015-05-13,3321.96,3376.25,3326.7,3354.59
2015-05-12,3378.15,3366.05,3307.49,3321.96
